,Commentary,Runs,Delivery_Length,Delivery_Line,Shot_Type,Run/NoRun,Bowler_Type,Bowler_Name,Avg_Ball_Speed,MatchID,Dismissal,Dismissal_Type,Beaten/NotBeaten,Home_Away,Good_Bad_Shot,Opponent,Stadium,Shot_Zone,Delivery_Number,Toss,TossDecision,D/N
21,"Rabada to Rohit, 1 run, 140kph short ball going down leg, Rohit despite picking the length early, is late into his pull shot. The ball rolls down to fine leg off the glove and Rohit opens his account off the tenth ball",1,Short,wicket_to_wicket,Pull_hook,run,right arm fast,Rabada,140,19160,0,,not_beaten,away,good,South Africa,Kingsmead,FineLeg,10,0,Batting,DN
22,"Rabada to Rohit, no run, similar ball, Rohit walks towards off and taps it to cover",0,GoodLength,outside_stumps,Drive,norun,right arm fast,Rabada,138.3,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Cover,9,0,Batting,DN
23,"Rabada to Rohit, no run, 144kph length ball on middle, Rohit walks across and clips it straight to mid-wicket",0,GoodLength,wicket_to_wicket,Pull_hook,norun,right arm fast,Rabada,144,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Midwicket,8,0,Batting,DN
24,"Rabada to Rohit, no run, a confident stride across from the right-handed batsman to block this good length ball to the left of the bowler",0,Full,wicket_to_wicket,Defensive_shot,norun,right arm fast,Rabada,138.3,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Unknown,7,0,Batting,DN
25,"Morne Morkel to Rohit, no run, attacks the stumps with a fuller length ball does Morne Morkel and Rohit tries to work it through the on-side. Gets a soft leading edge that rolls towards mid-off. Good, first over from the tall South African. No freebies",0,Full,wicket_to_wicket,Edge,norun,right arm fast,Morne Morkel,139.2,19160,0,,beaten,away,bad,South Africa,Kingsmead,LongOff,6,0,Batting,DN
26,"Morne Morkel to Rohit, no run, good carry through to the keeper. 139kph back of a length ball around the fifth-sixth stump line, Rohit has a good look at it and lets it go",0,Short,outside_stumps,No_shot,norun,right arm fast,Morne Morkel,139,19160,0,,beaten,away,bad,South Africa,Kingsmead,Unknown,5,0,Batting,DN
27,"Morne Morkel to Rohit, no run, 141kph pitched up delivery on middle and leg, Rohit gently knocks it towards mid-on",0,Full,wicket_to_wicket,Drive,norun,right arm fast,Morne Morkel,141,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,LongOn,4,0,Batting,DN
28,"Morne Morkel to Rohit, no run, jags in from a short of length, but Rohit has his sticks covered before shouldering arms",0,Short,outside_stumps,No_shot,norun,right arm fast,Morne Morkel,139.2,19160,0,,beaten,away,bad,South Africa,Kingsmead,Cover,3,0,Batting,DN
30,"Morne Morkel to Rohit, no run, angled in on off from a length, Rohit taps it to backward point",0,GoodLength,wicket_to_wicket,Cut,norun,right arm fast,Morne Morkel,139.2,19160,0,,not_beaten,away,bad,South Africa,Kingsmead,Point,1,0,Batting,DN
31,"Morne Morkel to Rohit, no run, starts with a 137kph short of a good length delivery wide of off, Rohit treats it as a sighter. Raises his bat and lets it go through to the keeper",0,Short,outside_stumps,No_shot,norun,right arm fast,Morne Morkel,137,19160,0,,beaten,away,bad,South Africa,Kingsmead,Unknown,0,0,Batting,DN
2,"Rabada to Rohit, <b>FOUR</b>, deft! Short and just outside off, Rohit arches his back and elevates it over the cordon. Nicely ramped. There's no third man",4,Short,outside_stumps,Late_Cut,run,right arm fast,Rabada,138.3,19161,0,,not_beaten,away,good,South Africa,SuperSport Park,ThirdMan,17,1,Fielding,D
3,"Rabada to Rohit, no run, fences a length ball to backward point",0,GoodLength,outside_stumps,Cut,norun,right arm fast,Rabada,138.3,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,Point,16,1,Fielding,D
4,"Rabada to Rohit, <b>FOUR</b>, too straight and that's been put away. Closes the bat-face and works it in front of square on the leg-side. Didn't over-hit, just relied on timing. The deep square leg fielder can't cut it off",4,GoodLength,wicket_to_wicket,Flick,run,right arm fast,Rabada,138.3,19161,0,,not_beaten,away,good,South Africa,SuperSport Park,SquareLeg,15,1,Fielding,D
5,"Rabada to Rohit, no run, straight bat on offer to tap a length ball to mid-off",0,GoodLength,wicket_to_wicket,Drive,norun,right arm fast,Rabada,138.3,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,LongOff,14,1,Fielding,D
6,"Rabada to Rohit, no run, pitched up delivery, Rohit drives it to mid-on",0,Full,wicket_to_wicket,Drive,norun,right arm fast,Rabada,138.3,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,LongOn,13,1,Fielding,D
7,"Rabada to Rohit, no run, short of length delivery, tucked to mid-wicket",0,Short,wicket_to_wicket,Pull_hook,norun,right arm fast,Rabada,138.3,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,Midwicket,12,1,Fielding,D
8,"Rabada to Rohit, no run. Rohit is given out, caught-behind and Rabada is pumped up. Oh, wait. Rohit reviews. Fair delivery. There was definitely a noise. Was it bat hitting the pad? Definitely, <b>bat hits the pad. </b>Here comes the UltraEdge. Ah! This is very close. Very tough for the TV umpire. There's a spike as the ball passes by the bat. <b>The onfield call has been overturned.</b> NOT OUT! Good review from Rohit Sharma. That was tantalizingly close to outside edge. But, the question is, <b>was there conclusive evidence to overturn the onfield call? </b>Rohit pushed at at a good length delivery with limited feet movement. The ball seamed away slightly and missed the nick",0,GoodLength,wicket_to_wicket,Edge,norun,right arm fast,Rabada,138.3,19161,0,,beaten,away,bad,South Africa,SuperSport Park,Unknown,11,1,Fielding,D
9,"Rabada to Rohit, no run, gets a bit of away shape does Rabada on this good length ball. Rohit covers his sticks, watches the ball closely and shoulders arms",0,Short,outside_stumps,No_shot,norun,right arm fast,Rabada,138.3,19161,0,,beaten,away,bad,South Africa,SuperSport Park,Cover,10,1,Fielding,D
10,"Rabada to Rohit, no run, Rohit walks forward and solidly blocks a length ball to mid-off",0,Full,wicket_to_wicket,Drive,norun,right arm fast,Rabada,138.3,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,LongOff,9,1,Fielding,D
12,"Rabada to Rohit, no run, in-angler from a good length at 137kph, Rohit watchfully defends it to backward point",0,Full,outside_stumps,Cut,norun,right arm fast,Rabada,137,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,Point,7,1,Fielding,D
13,"Morne Morkel to Rohit, 1 run, eight off the opening over! Rohit knocks this fuller length ball to the right of mid-on for a single",1,Full,wicket_to_wicket,Drive,run,right arm fast,Morne Morkel,139.2,19161,0,,not_beaten,away,good,South Africa,SuperSport Park,LongOn,6,1,Fielding,D
14,"Morne Morkel to Rohit, no run, good ball! Angling in on a good length, Rohit gets a soft leading edge towards the off-side trying to work it through the leg-side",0,GoodLength,wicket_to_wicket,Edge,norun,right arm fast,Morne Morkel,139.2,19161,0,,beaten,away,bad,South Africa,SuperSport Park,Unknown,5,1,Fielding,D
15,"Morne Morkel to Rohit, no run, Morkel follows it up with a yorker length ball, dug out",0,Full,wicket_to_wicket,Defensive_shot,norun,right arm fast,Morne Morkel,139.2,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,Unknown,4,1,Fielding,D
16,"Morne Morkel to Rohit, <b>SIX</b>, wow! What a glorious shot to get off the mark. A six over deep mid-wicket. Morkel bangs one short and Rohit has no problems in dealing with that. He comes half-forward and clouts the pull well in front of square on the leg-side",6,Short,wicket_to_wicket,Flick,run,right arm fast,Morne Morkel,139.2,19161,0,,not_beaten,away,good,South Africa,SuperSport Park,Midwicket,3,1,Fielding,D
17,"Morne Morkel to Rohit, no run, back of a length delivery angling in on off, Rohit defends with a straight bat",0,Short,wicket_to_wicket,Defensive_shot,norun,right arm fast,Morne Morkel,139.2,19161,0,,not_beaten,away,bad,South Africa,SuperSport Park,Unknown,2,1,Fielding,D
19,"Morne Morkel to Rohit, no run, good carry through to the keeper as Rohit lets go this pacy back of a length delivery outside off",0,Short,outside_stumps,No_shot,norun,right arm fast,Morne Morkel,139.2,19161,0,,beaten,away,bad,South Africa,SuperSport Park,Unknown,0,1,Fielding,D
2,"Rabada to Rohit, no run, <b>howzzat?</b> South African players are up in an appeal. Shortish outside off, Rohit pokes at it and the ball whizzes past his outside edge. Rabada was the one who was interested, but no support from the cordon and hence no review. Replays show daylight between bat and ball",0,Short,outside_stumps,Edge,norun,right arm fast,Rabada,138.3,19162,0,,beaten,away,bad,South Africa,Newlands,Unknown,4,0,Fielding,DN
3,"Rabada to Rohit, no run, <b>in the air.... but safe!</b> That's a hostile short delivery by Rabada. Bangs it short on off and gets it to shoot off. Rohit gets surprised by the bouncer as the ball catches the splice off the bat and drops in front of the diving fielder at point",0,Short,wicket_to_wicket,Unknown,norun,right arm fast,Rabada,138.3,19162,0,,beaten,away,bad,South Africa,Newlands,Point,3,0,Fielding,DN
4,"Rabada to Rohit, no run, angled into the batsman at <b>140kph</b>, Rohit defends it from within the crease",0,Full,wicket_to_wicket,Defensive_shot,norun,right arm fast,Rabada,138.3,19162,0,,not_beaten,away,bad,South Africa,Newlands,Unknown,2,0,Fielding,DN
5,"Rabada to Rohit, no run, fullish in length and nips away, Rohit shoulders arms at the last moment. The bat came inside the line after the ball had passed, so he was beaten there, Rohit",0,Short,outside_stumps,No_shot,norun,right arm fast,Rabada,138.3,19162,0,,beaten,away,bad,South Africa,Newlands,Unknown,1,0,Fielding,DN
6,"Rabada to Rohit, no run, starts off with a shortish delivery around off, Rohit stands tall and defends it off the back foot. Solid",0,Short,outside_stumps,Defensive_shot,norun,right arm fast,Rabada,138.3,19162,0,,not_beaten,away,bad,South Africa,Newlands,Unknown,0,0,Fielding,DN
2,"Rabada to Rohit, no run, more of an inside edge connects the leather as the ball is pushed back to the bowler",0,Unknown,Unknown,Edge,norun,right arm fast,Rabada,138.3,19163,0,,beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,12,1,Batting,DN
3,"Rabada to Rohit, no run, pushed back to the bowler as the ball was full",0,Full,wicket_to_wicket,Defensive_shot,norun,right arm fast,Rabada,138.3,19163,0,,not_beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,11,1,Batting,DN
4,"Rabada to Rohit, no run, looks to close the face of the bat and manages an inside edge as the ball was speared in at 147kph",0,Unknown,Unknown,Edge,norun,right arm fast,Rabada,147,19163,0,,beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,10,1,Batting,DN
5,"Rabada to Rohit, no run, the hostilities of the first over have been negated by Rohit. Another gentle outswinger and was left alone",0,Short,outside_stumps,No_shot,norun,right arm fast,Rabada,138.3,19163,0,,beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,9,1,Batting,DN
6,"Rabada to Rohit, <b>FOUR</b>, <b>just a touch!</b> Full toss, little outside off and the batsman leant down on it, opened the face on impact and guided it past mid-off for a welcome boundary. The out-field is touch on the slower side but the ball ended up winning the race",4,Full_toss,outside_stumps,Drive,run,right arm fast,Rabada,138.3,19163,0,,not_beaten,away,good,South Africa,New Wanderers Stadium,LongOff,8,1,Batting,DN
8,"Rabada to Rohit, no run, short of length outside off and again the ball was nipping away, Rohit has no qualms in seeing it through",0,Short,outside_stumps,No_shot,norun,right arm fast,Rabada,138.3,19163,0,,beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,6,1,Batting,DN
9,"Rabada to Rohit, no run, another gentle outswinger at 143kph. Line well outside off and the batsman is happy to leave it",0,Short,outside_stumps,Unknown,norun,right arm fast,Rabada,143,19163,0,,not_beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,5,1,Batting,DN
10,"Rabada to Rohit, no run, back of a length delivery outside off and has been left alone with ease as the line was well outside off and did not deck like it did in the last game",0,Short,outside_stumps,No_shot,norun,right arm fast,Rabada,138.3,19163,0,,beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,4,1,Batting,DN
11,"Rabada to Rohit, no run, starts with a widish length ball and a cautious looking Rohit, lets it go",0,Short,outside_stumps,No_shot,norun,right arm fast,Rabada,138.3,19163,0,,beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,3,1,Batting,DN
12,"Morne Morkel to Rohit, 1 run, spills on to the pads of the batsman, clipped away to the man at fine leg for a single. Rohit off the mark! Would be relieved given the duck he scored in the last game",1,GoodLength,wicket_to_wicket,Unknown,run,right arm fast,Morne Morkel,139.2,19163,0,,not_beaten,away,bad,South Africa,New Wanderers Stadium,FineLeg,2,1,Batting,DN
13,"Morne Morkel to Rohit, no run, length ball closer to the sticks, the batsman hangs in his crease and taps the ball out into the off-side",0,GoodLength,outside_stumps,Defensive_shot,norun,right arm fast,Morne Morkel,139.2,19163,0,,not_beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,1,1,Batting,DN
14,"Morne Morkel to Rohit, no run, a gentle loosener outside off and the ball leaves the batsman. Rohit shoulders arms to it",0,Short,outside_stumps,No_shot,norun,right arm fast,Morne Morkel,139.2,19163,0,,beaten,away,bad,South Africa,New Wanderers Stadium,Unknown,0,1,Batting,DN
2,"Lungi Ngidi to Rohit, no run, full and on the stumps, Rohit picks out mid-wicket with the flick",0,Full,wicket_to_wicket,Flick,norun,right arm fast,Lungi Ngidi,136,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Midwicket,128,0,Fielding,DN
3,"Shamsi to Rohit, 1 run, tossed up on the stumps, worked away in front of square on the on-side for a single",1,Full,wicket_to_wicket,Unknown,run,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,127,0,Fielding,DN
4,"Shamsi to Rohit, 1 run, flighted on Rohit's pads, clipped away in front of square on the on-side for a single",1,GoodLength,wicket_to_wicket,Unknown,run,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,126,0,Fielding,DN
5,"Shamsi to Rohit, 1 run, the chinaman from Tabraiz, but the length was short, allowed Rohit to chop it square on the off-side for a single",1,Short,outside_stumps,Unknown,run,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,125,0,Fielding,DN
6,"Lungi Ngidi to Rohit, 1 run, another slower ball from Ngidi, rolled his fingers across the seam, nudged away towards square leg for a single",1,GoodLength,wicket_to_wicket,Unknown,run,right arm fast,Lungi Ngidi,136,19164,0,,not_beaten,away,bad,South Africa,St George's Park,SquareLeg,124,0,Fielding,DN
7,"Lungi Ngidi to Rohit, 1 run, short of a length and on Rohit's pads, tucked away behind square on the on-side for a single",1,Short,wicket_to_wicket,Unknown,run,right arm fast,Lungi Ngidi,136,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,123,0,Fielding,DN
8,"Shamsi to Rohit, 1 run, punched down the ground, a single to long-off as Rohit Sharma retains strike",1,GoodLength,wicket_to_wicket,Drive,run,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,LongOff,122,0,Fielding,DN
9,"Shamsi to Rohit, no run, presses forward and negates the ball into the off-side",0,Full,outside_stumps,Defensive_shot,norun,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,121,0,Fielding,DN
10,"Shamsi to Rohit, 2 runs, slogs a flatter delivery over mid-wicket, Miller gets across and keeps it down to two",2,GoodLength,outside_stumps,Sweep,run,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,good,South Africa,St George's Park,Midwicket,120,0,Fielding,DN
11,"Phehlukwayo to Rohit, no run, short of length on the stumps, blocked",0,Short,wicket_to_wicket,Defensive_shot,norun,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,119,0,Fielding,DN
12,"Phehlukwayo to Rohit, <b>FOUR</b>, gallops down the pitch and slams the lofted drive wide of long-off, one bounce and over the ropes",4,GoodLength,outside_stumps,Drive,run,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,good,South Africa,St George's Park,LongOff,118,0,Fielding,DN
13,"Phehlukwayo to Rohit, 1 run, inside-edge onto pad and then hesitation. <b>Yes-no, yes-no... Rohit could have been in trouble</b>, but thankfully for him there's no direct hit this time. Iyer was quick to respond, but Rohit was late to take off. All ends well...",1,Full,wicket_to_wicket,Edge,run,right arm medium,Phehlukwayo,132.5,19164,0,,beaten,away,bad,South Africa,St George's Park,Unknown,117,0,Fielding,DN
14,"Phehlukwayo to Rohit, no run, gets across and offers a dead bat in response",0,Full,wicket_to_wicket,Defensive_shot,norun,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,116,0,Fielding,DN
15,"Shamsi to Rohit, no run, very full and straight, hit back at the bowler",0,Full,wicket_to_wicket,Defensive_shot,norun,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,115,0,Fielding,DN
16,"Shamsi to Rohit, no run, nudged round the corner, straight to backward square",0,GoodLength,outside_stumps,Unknown,norun,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,114,0,Fielding,DN
17,"Shamsi to Rohit, 1 run, punched square on the off-side",1,GoodLength,outside_stumps,Defensive_shot,run,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,113,0,Fielding,DN
18,"Shamsi to Rohit, no run, cramped for room, Rohit defends into the off-side",0,Full,outside_stumps,Defensive_shot,norun,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,112,0,Fielding,DN
19,"Phehlukwayo to Rohit, no run, very full outside off, punch-driven to mid-off",0,Full,outside_stumps,Drive,norun,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,bad,South Africa,St George's Park,LongOff,111,0,Fielding,DN
20,"Shamsi to Rohit, 2 runs, <b>17th ODI hundred, second against South Africa.</b> Hit-man back in form? Hasn't been convincing, but he's found his way to score runs. Some gracious shots, some edges, a drop chance but all that matters in the end is a ton and that of Rohit Sharma. Flicks it off his pads and unleashes....relieved faces in the Indian camp",2,GoodLength,wicket_to_wicket,Flick,run,left arm chinaman,Shamsi,84.4,19164,0,,beaten,away,good,South Africa,St George's Park,Unknown,110,0,Fielding,DN
21,"Shamsi to Rohit, no run, flights it full on off, a soft tappy push to the left of the bowler. Rohit thinks of s single, but aborts almost immediately",0,Full,wicket_to_wicket,Defensive_shot,norun,left arm chinaman,Shamsi,84.4,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,109,0,Fielding,DN
22,"Phehlukwayo to Rohit, 2 runs, clobbers the ball to deep mid-wicket and again there's indecision in running. They make peace and run two in the end",2,Unknown,Unknown,Pull_hook,run,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,good,South Africa,St George's Park,Midwicket,108,0,Fielding,DN
23,"Phehlukwayo to Rohit, no run, plonks his bat at a wide one and defends it to backward point",0,Full,outside_stumps,Cut,norun,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Point,107,0,Fielding,DN
24,"Rabada to Rohit, 1 run, <b>dropped by Shamsi.</b> The Indian dressing room had a 'wait-what!' moment there. Rohit ramped this short ball and it seemed to be heading over the boundary ropes...until Shamsi slid rapidly to his left and grassed an absolute sitter. Just around the circumference",1,Short,outside_stumps,Pull_hook,run,right arm fast,Rabada,138.3,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,106,0,Fielding,DN
25,"Rabada to Rohit, <b>FOUR</b>, gets it right this time, allows the ball to do its bit and offers dead hands, the softer edge, but Rohit won't mind. Gets a boundary through third man",4,Unknown,Unknown,Late_Cut,run,right arm fast,Rabada,138.3,19164,0,,beaten,away,good,South Africa,St George's Park,ThirdMan,105,0,Fielding,DN
26,"Rabada to Rohit, no run, looks to guide, but Rabada gets the ball to seam away and rip past the outside edge. Absolute corker that",0,Unknown,Unknown,Edge,norun,right arm fast,Rabada,138.3,19164,0,,beaten,away,bad,South Africa,St George's Park,Unknown,104,0,Fielding,DN
28,"Phehlukwayo to Rohit, no run, it was short and speared in at a decent pace, Rohit went for the pick-up pull, but the lackadaisical nature of the pitch didn't allow the ball to bounce as much as it should have. (we are talking about South African tracks mind you) Grazes Rohit's thigh pad and settles in the keeper's mitts. <b>South Africa thought they had him and went for a review.</b> No dice. Technology, the xavier... <b>Time for drinks</b>",0,Short,wicket_to_wicket,Pull_hook,norun,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,102,0,Fielding,DN
29,"Phehlukwayo to Rohit, 1 run, pats the ball on its head and runs a single down to third man",1,Unknown,Unknown,Late_Cut,run,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,good,South Africa,St George's Park,ThirdMan,101,0,Fielding,DN
30,"Phehlukwayo to Rohit, 1 run, uses the width to dab a single to third man",1,Full,wicket_to_wicket,Defensive_shot,run,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,good,South Africa,St George's Park,ThirdMan,100,0,Fielding,DN
31,"Phehlukwayo to Rohit, no run, on a length just outside off, tapped into the off-side",0,GoodLength,outside_stumps,Unknown,norun,right arm medium,Phehlukwayo,132.5,19164,0,,not_beaten,away,bad,South Africa,St George's Park,Unknown,99,0,Fielding,DN
32,"Rabada to Rohit, 1 run, dug in short again, Rohit had time to adjust and pull it along the ground to deep backward square",1,Short,outside_stumps,Pull_hook,run,right arm fast,Rabada,138.3,19164,0,,not_beaten,away,good,South Africa,St George's Park,Unknown,98,0,Fielding,DN
33,"Rabada to Rohit, 1 run, driven past a diving backward point to his right, signs of Rohit getting into his groove?",1,GoodLength,outside_stumps,Cut,run,right arm fast,Rabada,138.3,19164,0,,not_beaten,away,good,South Africa,St George's Park,Point,97,0,Fielding,DN
