,Commentary,Runs,Delivery_Length,Delivery_Line,Shot_Type,Run/NoRun,Bowler_Type,Bowler_Name,Avg_Ball_Speed,MatchID,Dismissal_Type,Beaten/NotBeaten,Home_Away,Good_Bad_Shot,Opponent,Stadium,Shot_Zone,Delivery_Number,Toss,TossDecision,D/N
0,"Junaid Khan to Warner, <b>out</b> Caught by Rizwan!! Warner for most part of this innings had flirted outside off and got away. There were a few mistimed pulls as well. But his luck finally gives away. Junaid Khan gets the line and length right as he slips it on a length outside off. Warner tries to force from the crease and the ball moves away just a bit to take the edge. Easy one for Rizwan behind the stumps. <b>Warner c Rizwan b Junaid Khan 35(38) [4s-5]</b>",,Short,wicket_to_wicket,Pull_hook,norun,left arm fast medium,Junaid Khan,132.7,16486, Caught!!,beaten,home,bad,Pakistan,W.A.C.A. Ground,ThirdMan,38,1,Fielding,DN
2,"Junaid Khan to Warner, no run, shortens the length again. Warner stands back and punches to mid-on with an angled bat",0,Short,Unknown,Drive,norun,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,LongOn,36,1,Fielding,DN
3,"Junaid Khan to Warner, no run, backs the bouncer with a full ball. Warner drives but only to find the man at cover",0,Short,outside_stumps,Drive,norun,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Cover,35,1,Fielding,DN
4,"Junaid Khan to Warner, no run, bouncer around off. Warner keeps himself away from the line of the ball and lets it go",0,Short,outside_stumps,No_shot,norun,left arm fast medium,Junaid Khan,132.7,16486,,beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,34,1,Fielding,DN
5,"Junaid Khan to Warner, 2 runs, once again his bat saves him. Tries to fetch the pull from well outside off and slices it over mid-off. In fact it was a top edge. Earns a couple in the process",2,Short,outside_stumps,Pull_hook,run,left arm fast medium,Junaid Khan,132.7,16486,,beaten,home,good,Pakistan,W.A.C.A. Ground,LongOff,33,1,Fielding,DN
6,"Junaid Khan to Warner, <b>FOUR</b>, short ball and Warner pulls from the crease. Does not get off the meat of the bat but he has got one of the most beautiful set of willow. Sends it roaring through square leg",4,Short,wicket_to_wicket,Pull_hook,run,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,good,Pakistan,W.A.C.A. Ground,SquareLeg,32,1,Fielding,DN
7,"Amir to Warner, 1 run, thumped past backward point from the crease. Third man runs in to keep it to a single",1,GoodLength,outside_stumps,Late_Cut,run,left arm fast medium,Amir,136.4,16486,,not_beaten,home,good,Pakistan,W.A.C.A. Ground,Point,31,1,Fielding,DN
8,"Amir to Warner, no run, Warner tried to push with glued feet. Was playing for the outswing but the ball kept coming in. Beat his bat on the inside half",0,Unknown,Unknown,Defensive_shot,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,30,1,Fielding,DN
9,"Amir to Warner, 1 run, gets squared up a bit this time and defends towards the off-side, it is in the gap and he runs a single",1,Full,outside_stumps,Defensive_shot,run,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,29,1,Fielding,DN
10,"Amir to Warner, no run, fullish again. Warner on-drives straight to the fielder at mid-on",0,Full,Unknown,Drive,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,LongOn,28,1,Fielding,DN
11,"Amir to Warner, no run, length ball. Defended back to the bowler",0,Full,Unknown,Defensive_shot,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,27,1,Fielding,DN
12,"Junaid Khan to Warner, 1 run, tucked away fine using the angle. Fine leg comes into play and keeps it to a single",1,Unknown,wicket_to_wicket,Unknown,run,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,FineLeg,26,1,Fielding,DN
13,"Junaid Khan to Warner, no run, back of a length delivery into Warner, tucks the defence into the on-side",0,Short,Unknown,Defensive_shot,norun,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,25,1,Fielding,DN
14,"Amir to Warner, 1 run, too ambitious from Amir. Tried the dream ball by pitching it on leg and middle. The ball did not swing. Warner did well by not closing his bat. Just tapped towards cover and set off for a single",1,Unknown,wicket_to_wicket,Unknown,run,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Cover,24,1,Fielding,DN
15,"Amir to Warner, no run, and again. Gets the ball to shape away from a length. Warner pushes tentatively and is beaten",0,GoodLength,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16486,,beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,23,1,Fielding,DN
16,"Amir to Warner, no run, Amir almost snared Warner there. Bowled it full outside off and got the ball to swing away. Warner went for the drive and was beaten. No real feet movement from the batsman. There hardly is from Warner",0,Full,outside_stumps,Drive,norun,left arm fast medium,Amir,136.4,16486,,beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,22,1,Fielding,DN
17,"Junaid Khan to Warner, 3 runs, brilliant running this. Short ball and Warner mistimes the pull past a diving mid-wicket. Shoaib Malik sprints and does well, takes a bit too long to release the ball and the Aussies make full use of that",3,Short,Unknown,Pull_hook,run,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,good,Pakistan,W.A.C.A. Ground,Midwicket,21,1,Fielding,DN
18,"Junaid Khan to Warner, no run, Junaid Khan slows the down the pace. Had to! Warner wants to drive again, messes the timing and the ball rolls back to the bowler",0,GoodLength,Unknown,Drive,norun,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,20,1,Fielding,DN
19,"Junaid Khan to Warner, <b>FOUR</b>, Junaid Khan is spraying them all over the pitch. This time ends up serving width outside off. Warner slips back to get in line, square drives off the back foot and sends it to the fence in no time",4,GoodLength,outside_stumps,Drive,run,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,good,Pakistan,W.A.C.A. Ground,ThirdMan,19,1,Fielding,DN
20,"Junaid Khan to Warner, <b>FOUR</b>, he won't miss them twice. Again a short ball and Warner short-arm jabs the pull over mid-wicket, a couple of bounces and into the fence",4,Short,outside_stumps,Pull_hook,run,left arm fast medium,Junaid Khan,132.7,16486,,beaten,home,good,Pakistan,W.A.C.A. Ground,Midwicket,18,1,Fielding,DN
21,"Junaid Khan to Warner, no run, Junaid Khan <b>appeals for an lbw</b> but it is too high and is going down as well. The short ball skid and beat Warner's pull to hit him just above the knee roll. Warner is not that tall but still it would have gone well over",0,Short,Unknown,Pull_hook,norun,left arm fast medium,Junaid Khan,132.7,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,17,1,Fielding,DN
22,"Amir to Warner, 1 run, similar length on off. Warner wants to punch to cover but gets an inside edge that scoots between his legs to backward square leg",1,GoodLength,wicket_to_wicket,Edge,run,left arm fast medium,Amir,136.4,16486,,beaten,home,bad,Pakistan,W.A.C.A. Ground,SquareLeg,16,1,Fielding,DN
23,"Amir to Warner, no run, short of a good length delivery outside off. Warner punches to cover from the crease",0,Short,outside_stumps,Drive,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Cover,15,1,Fielding,DN
24,"Amir to Warner, no run, off the back foot, pushed to point",0,Unknown,Unknown,Defensive_shot,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Point,14,1,Fielding,DN
25,"Amir to Warner, 2 runs, good running between the Aussie duo. Hops across and tucks to deep square leg. Sees the fielder has to labour a bit to his right and takes him on",2,Unknown,wicket_to_wicket,Unknown,run,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,SquareLeg,13,1,Fielding,DN
26,"Amir to Warner, <b>FOUR</b>, he does not need much space around off. Quick hands do the job for him. Punches this length ball through cover with ease, gets in the gap and it races away to the fence",4,GoodLength,outside_stumps,Unknown,run,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Cover,12,1,Fielding,DN
27,"Amir to Warner, no run, 140kph. Does not swing and goes straight with the angle. Warner gets inside the line and defends to square leg",0,Full,wicket_to_wicket,Defensive_shot,norun,left arm fast medium,Amir,140,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,SquareLeg,11,1,Fielding,DN
28,"Amir to Warner, no run, cutting in from a length. Kept away into the on-side",0,GoodLength,Unknown,Unknown,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,10,1,Fielding,DN
29,"Amir to Warner, no run, dangling full on the legs of Warner. Flicks to mid-wicket where Imad Wasim dives to save a few runs",0,Full,wicket_to_wicket,Flick,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Midwicket,9,1,Fielding,DN
30,"Amir to Warner, 2 runs, angling on middle and leg. Warner gets across and tucks through backward square leg for a couple",2,Unknown,wicket_to_wicket,Unknown,run,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,SquareLeg,8,1,Fielding,DN
31,"Amir to Warner, no run, Warner is now standing way out of his crease to counter the swing from Amir. It is a bit on a shorter side this time. Warner defends off the back foot to the man at cover",0,Short,outside_stumps,Defensive_shot,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Cover,7,1,Fielding,DN
32,"Amir to Warner, no run, full ball that leaves Warner late, beating his drive. Good delivery to start off. He has got two slips in place",0,Full,Unknown,Drive,norun,left arm fast medium,Amir,136.4,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,ThirdMan,6,1,Fielding,DN
33,"Hafeez to Warner, 1 run, pushed down the ground towards deepish mid-on to earn the strike for the next over",1,Unknown,Unknown,Drive,run,right arm off break,Hafeez,88.5,16486,,not_beaten,home,good,Pakistan,W.A.C.A. Ground,LongOn,5,1,Fielding,DN
34,"Hafeez to Warner, no run, short again. Keeps a bit low as Warner wants to cut after giving himself some room, edges on the bounce to the man at slip",0,Short,Unknown,Edge,norun,right arm off break,Hafeez,88.5,16486,,beaten,home,bad,Pakistan,W.A.C.A. Ground,ThirdMan,4,1,Fielding,DN
35,"Hafeez to Warner, no run, takes a few steps towards the ball and then drives to cover",0,GoodLength,outside_stumps,Drive,norun,right arm off break,Hafeez,88.5,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Cover,3,1,Fielding,DN
36,"Hafeez to Warner, no run, fired full. Defended to the left of the bowler",0,Full,Unknown,Defensive_shot,norun,right arm off break,Hafeez,88.5,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Unknown,2,1,Fielding,DN
37,"Hafeez to Warner, <b>FOUR</b>, quicker outside off and Warner waits to cut off the outer part of the blade, gets it past backward point. Amir gives the chase but is not quick enough",4,GoodLength,outside_stumps,Cut,run,right arm off break,Hafeez,88.5,16486,,not_beaten,home,good,Pakistan,W.A.C.A. Ground,Point,1,1,Fielding,DN
38,"Hafeez to Warner, no run, starts round the wicket and goes straight with the arm. Warner slaps to cover",0,GoodLength,outside_stumps,Drive,norun,right arm off break,Hafeez,88.5,16486,,not_beaten,home,bad,Pakistan,W.A.C.A. Ground,Cover,0,1,Fielding,DN
0,"Hasan Ali to Warner, <b>out</b> Caught by Rizwan!! Warner is on the floor. ""That will give Pakistan a breather,"" reckons Waqar Younis and he is right. The set batsman departs to a standing ovation. Warner reciprocates it with the wave of the bat to all corners of the ground. Full and well outside off, might have been called a wide had Warner left it, instead he went chasing and managed to get a cue-end. Rizwan dived to his left and held on to a sharp catch. He reached out so far that he was on the ground by the time he finished playing the shot. <b>Warner c Rizwan b Hasan Ali 130(119) [4s-11 6s-2]</b>",,Full,outside_stumps,Unknown,norun,right arm fast medium,Hasan Ali,134.9,16487, Caught!!,Unknown,home,bad,Pakistan,Sydney Cricket Ground,Unknown,119,1,Batting,DN
2,"Hasan Ali to Warner, no run, yorker length on the stumps, dug out to mid-wicket",0,Full,wicket_to_wicket,Pull_hook,norun,right arm fast medium,Hasan Ali,134.9,16487,,not_beaten,home,bad,Pakistan,Sydney Cricket Ground,Midwicket,117,1,Batting,DN
3,"Hasan Ali to Warner, <b>FOUR</b>, oh that came right off the meat. Hasan Ali goes too straight, on middle and leg, Warner plays a short-arm whip to deep square leg. Since it was off the middle, there was no stopping that",4,Short,wicket_to_wicket,Unknown,run,right arm fast medium,Hasan Ali,134.9,16487,,Unknown,home,bad,Pakistan,Sydney Cricket Ground,SquareLeg,116,1,Batting,DN
4,"Imad Wasim to Warner, 1 run, shortish and outside off, Warner was shaping to play the cut, the ball holds up a bit and he adjusts to bunt it towards mid-off. Takes on Malik and makes it with ease",1,Short,outside_stumps,Drive,run,left arm orthodox,Imad Wasim,92.1,16487,,not_beaten,home,good,Pakistan,Sydney Cricket Ground,LongOff,115,1,Batting,DN
5,"Imad Wasim to Warner, 1 run, cramps the batsman for room, tucked through mid-wicket",1,Unknown,Unknown,Pull_hook,run,left arm orthodox,Imad Wasim,92.1,16487,,not_beaten,home,good,Pakistan,Sydney Cricket Ground,Midwicket,114,1,Batting,DN
6,"Imad Wasim to Warner, <b>SIX</b>, for a second it seemed to be heading straight to the fielder, but it kept sailing over. Flatter and around off, Warner crouches low and smashes it flat towards cow corner. Clears the rope by a yard or so",6,GoodLength,outside_stumps,Unknown,run,left arm orthodox,Imad Wasim,92.1,16487,,Unknown,home,bad,Pakistan,Sydney Cricket Ground,Unknown,113,1,Batting,DN
7,"Hasan Ali to Warner, 2 runs, 122kph off-pace delivery, Warner is early into the drive, skims off the outside edge over backward point. The big fat wood on his bat coming to his rescue",2,GoodLength,outside_stumps,Edge,run,right arm fast medium,Hasan Ali,122,16487,,beaten,home,bad,Pakistan,Sydney Cricket Ground,Point,112,1,Batting,DN
